"page","date","transaction","pounds ","shillings","pence","contemp notes","comments"
,,"4 1/3 Do Ditto 21/9}",2,11,9,,
,,"Still due ",0,1,9,,
,,"1 Chest Lock",,3,,,
,,"[10/12?] doz buttons",,2,6,,
,,"Merchdse pd Amous",,4,,,
,,"Do pd Solomon",,6,6,,
,,,,17,9,,
,,"1 1/4 u Sugar",,2,3,,
,,"
",1,,,,
,,"By 4 cords wood",1,,,,
"page 49",,,,,,,
,,"Sam Dr",,,,,
,,"1 quart Brandy",,4,,,
,,"1 paper pins 4/ 2 u Sugar 4/",,8,,,
,,"1 doz Needles 1/ 1 Lock 3/6",,4,6,,
,,"1 pr Knitting Pins",,1,,,
,,"1 Sugar 2/ 1 Copperas 1/3",,3,3,,
,,"1 pr Suspenders",,7,6,,
,,"1 shawl 7/6 1 pr Shoes 17/6",1,5,,,
,,"1 quart Whisky",,3,6,,
,,"1 Do Ditto",,3,6,,
,,,3,0,3,,
,,"By 4 1/3 cords wood 5/",1,1,9,,
,,,1,18,6,,
,,"1 pr Shoes",,13,6,,
,,"Merchandise pd Solomon",,17,6,,
,,"Ditto pd Charles",,10,,,
,,"1 pr Stockings 15/ 1 Hkf 4/",,19,,,
"page 50",,,,,,,
,1811,"Jim Aimy Dr",,,,,
,"June","To balance due PP Settlemt",3,14,,,
,,"1 quart Whisky",,3,6,,
,,"1 fine Hat $5",2,10,,,
,,"1 quart Brandy",,4,,,
,,,6,11,6,,
,,"By James Hicks",,5,,,
,,,6,6,6,,
,"July 19th","4 yds India cotton at 4/",,16,,,
,,"1 yd fine Cambrick",,12,6,,
,,"1 qt Whisky to pay Bob",,3,6,,
,,"1 Shawl",,5,,,
,,"Merchandise pd Charles",,10,,,
,,,8,13,6,,
,,"By 19 cords wood @ 5/",4,15,,,
,,,3,18,6,,
,,"By 2 well Buckets 20/",1,,,,
,,"Bal due PP Settlement",2,18,6,,
,,"1 1/2 yds cord 22/6 1 doz buttons 2/6",1,5,,,
,,"1 [Stick?] Twist 2/6",,2,6,,
,,"1 qt Brandy",,4,,,
,,,4,10,,,
,,"5 qts Brandy 19/",,19,,,
,,"1 Do Do for Nead [S[r]?]",,4,,,
,,,5,13,,,
,,"By 25 cords coal wood at 5/",6,5,,,
,,"Balance due Jim",,12,,,
,,"1 quart Brandy",,4,,,
,,,,8,,,
,,"1 qt Ditto 4/ 2 u Sugar 4/",,8,,,
"page 51",,,,,,,
,1811,"Walkers David Dr.",,,,,
,,"To balance due PP Settlemt",4,3,6,,
,"July","2 1/2 yds Muslin @ 8/6",1,1,3,,
,,"1 large Shawl",,15,,,
,21,"2 1/2 u Sugar",,5,,,
,,,6,4,9,,
,,"By cash",,10,,,
,,,5,14,9,,
"page 52",,,,,,,
,1811,"Webb's Moses Dr.",,,,,
,,"To amount brot forward",1,2,6,,
,"June 30","1 Thimble",,1,3,,
,"Nov 30 ","1 Mug 2/6",,2,6,,
,,,1,6,3,,
,,"cr",,,,,
,,"By Old Daniel Eno 25/",1,5,,,
,,,0,1,3,,
"page 53",,,,,,,
,,"Ben (Perkierson) Dr.",,,,,
,,"To amount brot forward",3,2,6,,
,,"1 oz red cotton",,2,6,,
"page 54",,,,,,,
,,"Currel Dr",,,,,
,,"To amot brought forward",2,2,6,,
,"July 6","2 u Sugar 4/ 1 doz buttons 3/",,7,,,
,,"1 quart Whisky",,3,6,,
,1812,"Mathew Dr. ",,,9,"old accot",
,"Febry 28th","3 qts Whisky",,10,6,,
,,"cr",,,,,
,,"By 11 cords wood 55/",,,,,
"page 54",,,,,,,
,,"Phillip Dr",,,,,
,,"2 u Sugar",,4,,,
,,"Lock for Abner",,3,6,,
,,"To Marys accot",,3,3,,
,,"3 Handkfs",,15,,,
,,"paper pins",,2,6,,
,,"1 pr Shoes for Mary",,15,,,
,,,2,3,3,,
,,"By 12 sticks Blacking @ 2/",1,4,,,
,,,,19,3,,
,,"Needles",,,9,,
,,,1,,,,
,,"By Cash",1,,,,
,1812,,,,,,
,"Jany 6th","To 1 u Sugar 2/",,2,,,
,,"1 1/2 Gallons Molasses",,15,,,
,,,,17,,,
,,"By 1 pr Shoes for Nead",,10,,,"making shoes?"
,,,,7,,,
,,"2 u Sugar",,4,,,
,,"1 u Sugar &ct",,5,,,"abbreviation for et cetera"
,,"By Luke cr 28/6",,16,,,
,,"By Balance due Phillip ",0,12,6,,
,,""" cash of Aron",0,5,,,
,,"To 1 u Copperas pd Laycock 1/6",,,,,
"page 56",,,,,,,
,,"Walkers Henry Dr",,,,,
,,"To amount brot forward",1,19,3,,
,,"cr",,,,,
,,"By mending shoes &ct",,7,6,,
,,,1,11,9,,
,,"By Jas. Hicks 1/3 }",,,,"pd",
,,""" making 1 pr Shoes for}",,,,,
,,"Jerry @ 4/6}",,5,9,,
,,"Walkers Henry due PP Settlement",1,6,0,,
,,"Moses slave of D Camerons Cr",,,,,"""slave"""
,,"By 26 Cords Wood",6,10,,,
"page 57",,,,,,,
,,"[illegible] Dr",,,,"all marked out ""settled of Old Yellow Daniel By Coal Wood)",
,,"1 shawl",,15,,,
,,"3 yds Muslin @ 8/0",1,4,0,,
,,"1 paper pins",,,,,
,,,,,,,
,,"Jim Aimey Dr",,,,,
,,"1 lb Sugar 2/- 1 qt Brdy 4/-",,6,,,
,,"3 1/2 yds Homespun at 4/-",,14,,,
,,"cr",1,,,,
,,"By 2 Firkins at 5/-",,10,,,"firkin = unit of measurement, fraction of a barrel"
,,"2 qts Brdy 8/ 1 Coffee pot 7/6",,15,6,,
,,"1 qt Brandy 4/ 2 Sugar 4",,8,,,
,,"2 qts Whisky",,6,3,,
,,"1 qt Ditto",,3,6,,
,,,2,3,3,,
,,"By Doctor Umstead",,10,,,
,,,1,13,3,,
,,"To 2 [Pottery?] 1 broke",,4,3,,
,,,1,17,6,,
,,"By 7 1/2 cords wood",1,17,6,,
"page 58",,,,,,,
,,"Luke Dr",,,,,
,,"paid Phillip",1,8,6,,
,,"by Balance due Luke",1,19,6,,
