BK_SOURCE,BK_DEBIT_CREDIT,Folio Side,Year,Month,Day,entry,Page,,£,£,sh,d,$,¢,BK_WHEN,BK_BETWEEN,BK_MONEY1,BK_MONEY2,BK_MONEY3,$ data,¢ data,BK_ENTRY
"Ledger A, 1750 - 1772: pg.8",Debit,Left,1762,Apl,4,To Paper of Red Conner for Fieldg Lewis,,,,,5,,,,4 April 1762,"Lewis, Fielding, Sr.",,5,,,,To Paper of Red Conner for Fielding Lewis
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,,To Cash of Mr James Mercer,,,,50,,,,,1762,"Lewis, Fielding, Sr.",50,,,,,To Cash of Mr James Mercer
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,Augt,11,To Ditto paid Mr Magowan at yr request,,,,7,,,,,11 August 1762,"Lewis, Fielding, Sr.",50,,,,,To Cash paid Mr Magowan at yr request
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,,To a Post Chariot & Harness from Robt Cary Esqr. & Co. at your desire Cost Sterlg,,£98.14.8,,,,,,,11 August 1762,"Lewis, Fielding, Sr.",98,14,8,,,To a Post Chariot & Harness from Robert Cary Esquire & Company at your desire Cost Sterling £98.14.8
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,,65 prCt Excha: on Do,,64.3.6,,,,,,,11 August 1762,"Lewis, Fielding, Sr.",64,3,6,,,65 percent Exchange: on Do 64.3.6
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,,[Total],,,,162,18,2,,,1762,"Lewis, Fielding, Sr.",162,18,2,,,[Total]
"Ledger A, 1750 - 1772: pg.8",Debit,Left,1764,Jany,24,To Cash lent you at Mr Man Pages,,,,12,,,,,24 January 1764,"Lewis, Fielding, Sr.",12,,,,,To Cash lent you at Mr Mann Pages
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,26,To Servants for you at Mr Bushrods & Mr Wormleys,,,,,2,6,,,26 January 1764,"Lewis, Fielding, Sr.",,2,6,,,To Servants for you at Mr Bushrods & Mr Wormleys
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,,[Total],,,£,277,5,8,,,1764,"Lewis, Fielding, Sr.",277,5,8,,,[Total]
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,,,,,,,,,,,,,"Lewis, Fielding, Sr.",,,,,,
"Ledger A, 1750 - 1772: pg.8",Credit,Right,1751,Augt,20,By Cash,,,,32,4,2,,,20 August 1751,"Lewis, Fielding, Sr.",32,4,2,,,By Cash
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,,,By Seven Guinea's,,,,9,2,,,,20 August 1751,"Lewis, Fielding, Sr.",9,2,,,,By Seven Guinea's
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,Mar,20,By Cash paid Mitchell at York Town for me,,,,,9,8 1/2,,,20 March 1751,"Lewis, Fielding, Sr.",,9,"8,5",,,By Cash paid Mitchell at York Town for me
"Ledger A, 1750 - 1772: pg.8",Credit,Right,1752,Apl,29,By Ditto,,,,15,2,10,,,29 April 1752,"Lewis, Fielding, Sr.",15,2,10,,,By Cash
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,June,9,By Ditto,,,,4,5,7 1/2,,,9 June 1752,"Lewis, Fielding, Sr.",4,5,"7,5",,,By Cash
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,July,11,By Ditto,,,,10,4,7,,,11 July 1752,"Lewis, Fielding, Sr.",10,4,7,,,By Cash
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,Augt,7,By Colo. Champe for Negro's,,,,75,,,,,7 August 1752,"Lewis, Fielding, Sr.",75,,,,,By Colonel Champe for Negro's
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,Augt,8,By Cash of Gabriel Throgmorton,,,,8,,,,,8 August 1752,"Lewis, Fielding, Sr.",8,,,,,By Cash of Gabriel Throgmorton
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,,,By Duty on the Negro's bought of Colo. Champe,,,,3,15,,,,8 August 1752,"Lewis, Fielding, Sr.",3,15,,,,By Duty on the Negro's bought of Colonel Champe
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,Octr,5,By Cash,,,,9,13,6,,,5 October 1752,"Lewis, Fielding, Sr.",9,13,6,,,By Cash
"Ledger A, 1750 - 1772: pg.8",Credit,Right,1757,Septr,10,"By Sundries to this date, exclusive of the above",,,,117,19,3,,,10 September 1757,"Lewis, Fielding, Sr.",117,19,3,,,"By Sundries to this date, exclusive of the above"
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,,,[Total],,,,285,16,8,,,1757,"Lewis, Fielding, Sr.",285,16,8,,,[Total]
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,,,By a Bill of Mr James Hunter £50 Sterg @ 40 prCt,,,,72,10,,,,1,"Lewis, Fielding, Sr.",72,10,,,,By a Bill of Mr James Hunter £50 Sterling @ 40 percent
"Ledger A, 1750 - 1772: pg.8",Credit,Right,1759,Decr,20,By an Acct of Sundry's  amounting to,,,,129,18,1,,,20 December 1759,"Lewis, Fielding, Sr.",129,18,1,,,By an Account of Sundry's amounting to
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,,,[Total],,,£,202,8,1,,,1759,"Lewis, Fielding, Sr.",202,8,1,,,[Total]
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,,1,By two Lotts in Fredericksburg No.,,,,40,,,,,1,"Lewis, Fielding, Sr.",40,,,,,By two Lotts in Fredericksburg No.
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,,,By 1 pr Black silk Stockings,,,,1,6,,,,,"Lewis, Fielding, Sr.",1,6,,,,By 1 pair Black silk Stockings
"Ledger A, 1750 - 1772: pg.8",Credit,Right,1763,,,By postage Sundry Letters,,,,,,,,,1763,"Lewis, Fielding, Sr.",,,,,,By postage Sundry Letters
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,July,28,By Cash at Fredericksburg,,,,21,,,,,28 July 1763,"Lewis, Fielding, Sr.",21,,,,,By Cash at Fredericksburg
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,Octr,7,By Ditto at Ditto,,,,36,,,,,7 October 1763,"Lewis, Fielding, Sr.",36,,,,,By Cash at Fredericksburg
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,,29,By Mr Charles Washington,,,,130,,,,,29 October 1763,"Lewis, Fielding, Sr.",130,,,,,By Mr Charles Washington
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,,,By Hhd of Rum,,,,22,4,,,,29 October 1763,"Lewis, Fielding, Sr.",22,4,,,,By Hogshead of Rum
"Ledger A, 1750 - 1772: pg.8",Credit,Right,1764,,,By Cash,,,,12,,,,,25 January 1764,"Lewis, Fielding, Sr.",12,,,,,By Cash
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,Jany,25,By my Expences paid by you at Capahosick,,,,,,,,,25 January 1764,"Lewis, Fielding, Sr.",,,,,,By my Expenses paid by you at Capahosick
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,Apl,27,By Cash,,,,12,0,0,,,April 1764,"Lewis, Fielding, Sr.",12,0,0,,,By Cash
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,,,Balle carried to folio 193,,,,2,15,8,,,1764,"Lewis, Fielding, Sr.",2,15,8,,,Balance carried to folio 193
"Ledger A, 1750 - 1772: pg.8",Credit,Right,,,,[Total],,,,277,5,8,,,1764,"Lewis, Fielding, Sr.",277,5,8,,,[Total]
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,,,,,,,,,,,"Washington, John Augustine",,,,,,
"Ledger A, 1750 - 1772: pg.9",Debit,Left,1754,Feby,4th,To Cash in part for a Watch,,,,4,5,6,,,4 February 1754,"Washington, John Augustine",4,5,6,,,To Cash in part for a Watch
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,To a Ballance Recd of Geo: Long,,,,1,13,6,,,4 February 1754,"Washington, John Augustine",1,13,6,,,To a Balance Received of Geo: Long
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,July,29,To Cash,,,,17,7,6,,,29 July 1754,"Washington, John Augustine",17,7,6,,,To Cash
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,To Ditto,,,,17,1,3,,,1754,"Washington, John Augustine",17,1,9,,,To Cash
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,To Ditto in November last neglected to be chargd,,,,3,,,,,1754,"Washington, John Augustine",3,,,,,To Cash in November last neglected to be charged
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,To Rent of Mary Butler,,,,2,8,,,,1754,"Washington, John Augustine",2,8,,,,To Rent of Mary Butler
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,Feby,5,To Cash,,,,1,1,6,,,5 February,"Washington, John Augustine",1,1,6,,,To Cash
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,Jany,11,To your proportion of a Fee given Mercer on the Devise of my Brothers Negros,,,,,5,4 1/2,,,11 January,"Washington, John Augustine",5,"4,5",,,,To your proportion of a Fee given Mercer on the Devise of my Brothers Negros
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,To your propn of the Expence of a Release for Do,,,,,5,4 1/2,,,,"Washington, John Augustine",5,"4,5",,,,To your proportion of the Expense of a Release for Do
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,[Total],,,£,47,8,0,,,1755,"Washington, John Augustine",47,8,0,,,[Total]
"Ledger A, 1750 - 1772: pg.9",Debit,Left,1756,Septr,15,To Balle of Our private acct,,,,3,4,1 1/2,,,15 September 1756,"Washington, John Augustine",3,4,"1,5",,,To Balance of Our private account
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,16,To Balle of Sundry money's lodgd in your hands,,,,8,6,11 1/2,,,16 September 1756,"Washington, John Augustine",8,6,"11,5",,,To Balance of Sundry money's lodged in your hands
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,"To Cash for a horse, bought for you",,,,7,10,,,,16 September 1756,"Washington, John Augustine",7,10,,,,"To Cash for a horse, bought for you"
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,To a Neat Saddle & Bridle chargd me Sterg 29/6,,,,2,,,,,16 September 1756,"Washington, John Augustine",2,,,,,To a Neat Saddle & Bridle charged me Sterling 29/6
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,To Cash to be accounted for,,,,7,,,,,16 September 1756,"Washington, John Augustine",7,,,,,To Cash to be accounted for
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,25,To Ditto Ditto,,,,8,,,,,25 September 1756,"Washington, John Augustine",8,,,,,To Cash to be accounted for
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,28,To Ditto paid Lewis Moore Collecter your Levies &ca,,,,2,16,8,,,28 September 1756,"Washington, John Augustine",2,16,8,,,To Cash paid Lewis Moore Collecter your Levies &ca
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,Decr,15,To Ditto lodgd with you at Winchester to be accd for,,,,27,10,,,,15 December 1756,"Washington, John Augustine",27,10,,,,To Cash lodged with you at Winchester to be accounted for
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,May,21,To Ditto at Mount Vernon,,,,4,12,6,,,21 May 1757,"Washington, John Augustine",4,12,6,,,To Cash at Mount Vernon
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,To Ditto at Alexandria,,,,6,,,,,21 May 1757,"Washington, John Augustine",6,,,,,To Cash at Alexandria
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,July,5,To Ditto to Chr. Hardwick for your use,,,,4,,,,,5 July 1757,"Washington, John Augustine",4,,,,,To Cash to Christopher Hardwick for your use
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,To Ditto sent you by Mr Kirkpatrick,,,,20,,,,,5 July 1756,"Washington, John Augustine",20,,,,,To Cash sent you by Mr Kirkpatrick
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,Septr,8,To Ditto pd Lewis Moore of Levies,,,,1,1,,,,8 September 1757,"Washington, John Augustine",1,1,,,,To Cash paid Lewis Moore of Levies
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,To Ditto for yr Flour &ca sold the Comy,,,,46,19,6,,,8 September 1757,"Washington, John Augustine",46,19,6,,,To Cash for yr Flour &ca sold the Comy
"Ledger A, 1750 - 1772: pg.9",Debit,Left,1758,Apl,6,To Ditto paid the Sheriff yr Levies at 8/5 pr head,,,,2,18,11,,,6 April 1758,"Washington, John Augustine",2,18,11,,,To Cash paid the Sheriff yr Levies at 8/5 per head
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,Jany,7,To Ditto paid Mr Jno. Ballendine for you,,,,,8,9,,,7 January 1758,"Ballendine, John, Washington, John Augustine",,8,9,,,To Cash paid Mr John Ballendine for you
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,To Ditto pd Mr Robt Adam for a Bottle of Snuff,,,,,2,6,,,7 January 1758,"Washington, John Augustine",,2,6,,,To Cash paid Mr Robert Adam for a Bottle of Snuff
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,May,13,To Ditto to be accd for,,,,150,,,,,13 May 1758,"Washington, John Augustine",150,,,,,To Cash to be accounted for
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,June,7,To Ditto pd the Sheriff of Fredk for yr Tiths difficient,,,,,14,,,,7 June 1758,"Washington, John Augustine",,14,,,,To Cash paid the Sheriff of Fredk for yr Tithables difficient
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,21,To Ditto pd Colo.  Mercer for carriage of two hd of yr Tobacco in 1756 as pr his acct,,,,3,5,,,,21 June 1758,"Washington, John Augustine",3,5,,,,To Cash paid Colonel Mercer for carriage of two hogshead of yr Tobacco in 1756 as per his account
"Ledger A, 1750 - 1772: pg.9",Debit,Left,1759,Augt,,To ditto paid for 8 Bushls Rye,,,,1,8,,,,August 1759,"Washington, John Augustine",1,8,,,,To Cash paid for 8 Bushels Rye
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,To Credited in Yr Acct for wheat sold Captn Posey,,,,17,10,,,,August 1759,"Washington, John Augustine",17,10,,,,To Credited in Yr Acct for wheat sold Captain Posey
"Ledger A, 1750 - 1772: pg.9",Debit,Left,,,,To Sum card to Folio 97,,,£,325,7,11,,,1759,"Washington, John Augustine",325,7,11,,,To Sum carried to Folio 97
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,,,,,,,,,,1 November 1753,"Washington, John Augustine",,,,,,
"Ledger A, 1750 - 1772: pg.9",Credit,Right,1753,Novr,1,By one Silver Watch,,,,10,,,,,1 November 1753,"Washington, John Augustine",10,,,,,By one Silver Watch
"Ledger A, 1750 - 1772: pg.9",Credit,Right,1754,Augt,16,By Cash paid Mr McCradie my Store acct,,,,12,1,6,,,16 August 1754,"Washington, John Augustine",12,1,6,,,By Cash paid Mr McCradie my Store account
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,By Ditto paid Mr Antho: Strother for C: Jacob Vanbraam,,,,16,2,6,,,16 August 1754,"Washington, John Augustine",16,2,6,,,By Cash paid Mr Anthony Strother for C: Jacob Vanbraam
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,By Cash,,,,,18,9,,,16 August 1754,"Washington, John Augustine",,18,9,,,By Cash
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,By Benja. Pipeman,,,,2,13,6,,,16 August 1754,"Washington, John Augustine",2,13,6,,,By Benjamin Pipeman
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,By Cash for shott,,,,,2,6,,,16 August 1754,"Washington, John Augustine",,2,6,,,By Cash for shott
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,By ____ Glendenny,,,,,13,1 1/2,,,16 August 1754,"Washington, John Augustine",,13,"1,5",,,By ____ Glendenny
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,By Cash,,,,,10,6,,,16 August 1754,"Washington, John Augustine",,10,6,,,By Cash
"Ledger A, 1750 - 1772: pg.9",,Right,,,,By Richard Stephenson,,,,1,1,6,,,,"Washington, John Augustine",1,1,6,,,By Richard Stephenson
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,By Balle Acct,,,,3,4,1 1/2,,,16 August 1754,"Washington, John Augustine",3,4,"1,5",,,By Balance Account
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,[Total],,,,47,8,,,,,"Washington, John Augustine",47,8,,,,[Total]
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,By Cash Recd of the Comy for 428 lb. nett Pork @ 15/,,,,3,3,10,,,16 August 1754,"Washington, John Augustine",3,3,10,,,By Cash Received of the Commissary for 428 pound nett Pork @ 15/
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,By Ditto of Ditto for 562 gross Beef @ 18/,,,,5,,8,,,16 August 1754,"Washington, John Augustine",5,,8,,,By Cash Received of the Commissary for 562 gross Beef @ 18/
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,By Ditto of Ditto for 7747 lb. of Flour 10/,,,,38,15,,,,16 August 1754,"Washington, John Augustine",38,15,,,,By Cash Received of the Commissary for 7747 pound of Flour 10/
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,Septr,22,By Cash lodgd with me to pay yr Levies,,,,2,,,,,22 September 1754,"Washington, John Augustine",2,,,,,By Cash lodged with me to pay yr Levies
"Ledger A, 1750 - 1772: pg.9",Credit,Right,1758,May,,By Ditto pd Mr Jno. Patterson (Joiner),,,,75,,,,,22 May 1758,"Washington, John Augustine",75,,,,,By Cash paid Mr John Patterson (Joiner)
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,By Ditto pd my Bror Charles Washington,,,,47,,,,,22 May 1758,"Washington, John Augustine",47,,,,,By Cash paid my Brother Charles Washington
"Ledger A, 1750 - 1772: pg.9",Credit,Right,1759,July,,By Cash of Mr Comy Walker for 1500 lbs. flour @ 10/,,,,7,10,,,,22 July 1759,"Washington, John Augustine",7,10,,,,By Cash of Mr Commissary Walker for 1500 pounds flour @ 10/
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Credits pd his own acct rendd 10th May 1760,,,,,,,,,22 July 1759,"Washington, John Augustine",,,,,,Credits paid his own account rendered 10th May 1760
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Cash pd Thrasher's 10/ pd Danl French £4,,,,4,10,,,,22 July 1759,"Washington, John Augustine",4,10,,,,Cash paid Thrasher's 10/ paid Daniel French £4
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Ditto to Richd Stephens to pay for Thrashing,,,,3,10,,,,22 July 1759,"Washington, John Augustine",3,10,,,,Cash to Richard Stephens to pay for Thrashing
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Ditto pd for Thrashing  15/ pd Saml Johnston £4,,,,4,15,,,,22 July 1759,"Washington, John Augustine",4,15,,,,Cash paid for Thrashing 15/ paid Samuel Johnston £4
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Ditto pd Chr. Hardwick £4 pd Ned for Eggs &ca 1/10 1/2,,,,4,1,10 1/2,,,22 July 1759,"Washington, John Augustine",4,1,"10,5",,,Cash paid Christopher Hardwick £4 paid Ned for Eggs &ca 1/10 1/2
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Ditto pd for Thrashg by R. Stephens over & above ye [the] £3.10,,,,1,5,6,,,22 July 1759,"Washington, John Augustine",1,5,6,,,Cash paid for Thrashing by Richard Stephens over & above ye [the] £3.10
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Ditto pd by R. Stephens for Shoemaking &ca,,,,1,,,,,22 July 1759,"Washington, John Augustine",1,,,,,Cash paid by Richard Stephens for Shoemaking &ca
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Ditto pd Ditto in part of his private acct,,,,11,10,,,,22 July 1759,"Washington, John Augustine",11,10,,,,Cash paid Richard Stephens in part of his private account
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Ditto pd Thrasher's 44/2 pd John Beard 5/,,,,2,9,2,,,22 July 1759,"Washington, John Augustine",2,9,2,,,Cash paid Thrasher's 44/2 paid John Beard 5/
"Ledger A, 1750 - 1772: pg.9",,Right,,,,Ditto pd for Thrashing 15/ pd for Oysters 2/6,,,,,17,6,,,,"Washington, John Augustine",,,,,,Cash paid for Thrashing 15/ paid for Oysters 2/6
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Ditto for Eggs 4/ pd Mr Watson for Carprs Tools 8/5,,,,,12,5,,,22 July 1759,"Washington, John Augustine",,12,5,,,Cash for Eggs 4/ paid Mr Watson for Carpenters Tools 8/5
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Ditto for Potatoes 6/ John Alton's Exps. 5/,,,,,11,,,,22 July 1759,"Washington, John Augustine",,11,,,,Cash for Potatoes 6/ John Alton's Exps. 5/
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Ditto to Rate for Chickens 1/3. A Negro Docr 15/,,,,,16,3,,,22 July 1759,"Washington, John Augustine",,16,3,,,Cash to Rate for Chickens 1/3. A Negro Doctor 15/
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Ditto to Mr Frenches Negro for Chickens &ca,,,,,3,3,,,22 July 1759,"Washington, John Augustine",,3,3,,,Cash to Mr Frenches Negro for Chickens &ca
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,Ditto pd Mr Dicks acct pr Rect,,,,1,4,,,,22 July 1759,"Washington, John Augustine",1,4,,,,Cash paid Mr Dicks account per Receipt
"Ledger A, 1750 - 1772: pg.9",Credit,Right,,,,By amt carried to Folio (97),,,£,215,15,5 1/2,,,22 July 1759,"Washington, John Augustine",215,15,"5,5",,,By amount carried to Folio (97)
"Ledger A, 1750 - 1772: pg.10",Debit,Left,,,,,,,,,,,,,,Cash,,,,,,
"Ledger A, 1750 - 1772: pg.10",Debit,Left,1754,Octr,15,To Cash in hand,,,£,45,,,,,15 October 1754,Cash,45,,,,,To Cash in hand
"Ledger A, 1750 - 1772: pg.10",Debit,Left,,,25,To Ditto of Mr Prentis my Salary as adjutant,,,,50,,,,,25 October 1754,Cash,50,,,,,To Cash of Mr Prentis My Salary as adjutant
"Ledger A, 1750 - 1772: pg.10",Debit,Left,,,30,To Ditto of Majr Carlyle in Williamsburg,,,,8,14,2,,,30 October 1754,Cash,8,14,2,,,To Cash of Major Carlyle in Williamsburg
"Ledger A, 1750 - 1772: pg.10",Debit,Left,,Novr,,To Ditto in Alexandria,,,,21,12,1,,,November 1754,Cash,21,12,1,,,To Cash in Alexandria
"Ledger A, 1750 - 1772: pg.10",Debit,Left,,,,To Sum carried to Folio (17),,,,225,6,3,,,November 1754,Cash,225,6,3,,,To Sum carried to Folio (17)
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,,,,,,,,,,15 October 1754,Cash,,,,,,
"Ledger A, 1750 - 1772: pg.10",Credit,Right,1754,Octr,15,By Captn Merrie charges on my Watch,,,,1,1,6,,,15 October 1754,Cash,1,1,6,,,By Captain Merrie charges on my Watch
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By Ditto for a chance to Raffle for a Watch,,,,,5,,,,15 October 1754,Cash,,5,,,,By Captain Merrie for a chance to Raffle for a Watch
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By Chair leathers,,,,,3,3,,,15 October 1754,Cash,,3,3,,,By Chair leathers
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,16,By Buckles for Ditto,,,,,4,3,,,16 October 1754,Cash,,4,3,,,By Buckles for Ditto
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By Captn Newton for Frank Self,,,,4,6,10 1/2,,,16 October 1754,Cash,4,6,"10,5",,,By Captain Newton for Frank Self
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,18,By Servants 5/ Expences at Taylors Ordy 3/9,,,,,8,9,,,18 October 1754,Cash,,8,9,,,By Servants 5/ Expenses at Taylors Ordy 3/9
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,19,By Expences at Todds Ordy,,,,,1,10 1/2,,,19 October 1754,Cash,,1,"10,5",,,By Expenses at Todds Ordy
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By Ditto at King William Ct House,,,,,5,7 1/2,,,19 October 1754,Cash,,5,"7,5",,,By Expenses at King William Court House
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,20,By Ditto at Claybourns 4/10 1/2 Ditto at Chizls Ordy 6/7 1/2,,,,,11,6,,,20 October 1754,Cash,,11,6,,,By Expenses at Claybourns 4/10 1/2 Expenses at Chiswell's Ordy 6/7 1/2
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By 2 Almanacks 2/6. By my Servt Jno. Alton 6/,,,,,8,6,,,20 October 1754,Cash,,8,6,,,By 2 Almanacks 2/6. By my Servant John Alton 6/
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,23,By Dinner and Club at Finnies,,,,,5,3,,,23 October 1754,Cash,,5,3,,,By Dinner and Club at Finnies
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By Barber &ca 3/9 By Jno. Alton 1/3,,,,,5,,,,23 October 1754,Cash,,5,,,,By Barber &ca 3/9 By John Alton 1/3
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,24,By Club 7/6 Mending ye [the] Axle tree of my Chair 5/,,,,,12,6,,,24 October 1754,Cash,,12,6,,,By Club 7/6 Mending ye [the] axle tree of my Chair 5/
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By Shoes and Gloves 20/. 25th By Jno. Alton 5/,,,,1,5,,,,24 October 1754,Cash,1,5,,,,By Shoes and Gloves 20/. 25th By John Alton 5/
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,25,By Silver lace for a Hatt,,,,1,8,5,,,25 October 1754,Cash,1,8,5,,,By Silver lace for a Hatt
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By Shoe Blacking,,,,,2,,,,25 October 1754,Cash,,2,,,,By Shoe Blacking
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By one pair Buckskin Gloves,,,,,7,6,,,25 October 1754,Cash,,7,6,,,By one pair Buckskin Gloves
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By a Horse whip,,,,,15,6,,,25 October 1754,Cash,,15,6,,,By a Horse whip
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By a Shott Pouch,,,,,6,,,,25 October 1754,Cash,,6,,,,By a Shott Pouch
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By 3 pair Stockings,,,,1,16,,,,25 October 1754,Cash,1,16,,,,By 3 pair Stockings
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By Shoe Blacking & Brushes old acct,,,,,3,8,,,25 October 1754,Cash,,3,8,,,By Shoe Blacking & Brushes old account
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,31,By Mr Collin Campbell my deputy adjutant his Salary for the last half year,,,,25,,,,,31 October 1754,Cash,25,,,,,By Mr Collin Campbell my deputy adjutant his Salary for the last half year
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By a Saddle Cloth,,,,,6,3,,,31 October 1754,Cash,,6,3,,,By a Saddle Cloth
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By a Cirsingle,,,,,3,6,,,31 October 1754,Cash,,3,6,,,By a Cirsingle
"Ledger A, 1750 - 1772: pg.10",,Right,,,,By Shoeing my Horse,,,,,1,,,,,Cash,,,,,,By Shoeing my Horse
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By a Negro Fellow bought at Publick Sale of John Wake as pr rect,,,,40,5,,,,31 October 1754,Cash,40,5,,,,By a Negro Fellow bought at Publick Sale of John Wake as per receipt
